,SubjectID,edge_ID
0,1,HXH96JG4GS
1,1,G4Z6P93FW3
2,1,PA2EX42PP0
3,1,6V3UDJZIK3
4,1,QWBYOBV7LI
5,1,JKKN8W28ML
6,1,IFS6FSUWJF
7,1,FV3D39LP07
8,1,5GD0VEE3CH
9,1,6D5ADT83EA
10,1,H6KEMNJXAL
11,1,0E68NXXJZL
12,1,X4CDRJMRWO
13,1,QAAGYGINB1
14,1,SM7OYSIKR3
15,1,LL4KCRI2H2
16,1,VJW6OPS697
17,2,FV4849Z924
18,2,8PH83IOSS2
19,2,4Q8EK3CMH6
20,2,AP467P4B46
21,2,YRSJ66F6PR
22,2,Z1L552WF7W
23,2,UM8FMFN59P
24,2,4PW8FC7UPQ
25,2,Q9GXM3KXIW
26,2,A5ZJH2662D
27,2,4N6KQB5G7O
28,2,HIEQQEIXFO
29,2,2XPG4IXPLP
30,2,03E76WIB6A
31,2,OD0SSC1JW3
32,2,27GB6AJSIG
33,3,7ZU2QTXFYX
34,3,PX72XP010R
35,3,Y106ORIRAX
36,3,V4FWGIN8CL
37,3,MJ3935JPZG
38,3,MMCHJCEQAA
39,3,ZBNUU8IPC1
40,3,EWRP04XANS
41,3,IY9VW61BDS
42,3,O27V5S8JIW
43,3,C3JUKD7K4Z
44,3,BUF08C2T63
45,3,9PDPG2FZ55
46,3,XOZL59SX5V
47,3,TWZBZUZB9G
48,4,JAYXIQ91MA
49,4,0OOS90G7UB
50,4,ELTA6D0R3C
51,4,MEFLFLKI5S
52,4,F02Z4JROR9
53,4,G6G23B1SK9
54,4,L34PXP0HJN
55,4,6V36CD7JYK
56,4,BQY9AGDDQ6
57,4,RINSK015D2
58,4,RFEMAZ4IU3
59,4,1EEODT29Y2
60,4,SJQM3A9GXZ
61,4,WR4PPZ0HNX
62,4,3H60THN7US
63,5,P00QASTCD5
64,5,CJZP59M8YK
65,5,1U0DLJZWNH
66,5,EHA7ZLW2P2
67,5,8KDUTUDU9L
68,5,BBZVPUIJAH
69,5,MT6COBCVSY
70,5,BCQ30UF362
71,5,427CIC262B
72,5,SALJ9CTBJB
73,5,0A7M3SPPOO
74,5,T2G2U6JKL0
75,5,O4CB8B1E5X
76,5,2O13Y2PTEZ
77,5,67882YTT3L
78,6,6N9QATHF6F
79,6,7PPE7NKG9J
80,6,AWGEUNS4C5
81,6,L7XTS6NCJ2
82,6,KLJNGZPW08
83,6,N6NFM2W86V
84,6,Y8MLKBF2UI
85,6,LAC7HHHRGS
86,6,ORFJNMEL7Y
87,6,3QWA0NRL9V
88,6,94DAE3JMH4
89,6,J3IQKHRPP7
90,6,YH1LSE2MED
91,6,4TXUZ48Y8Y
92,7,DKCSJ984VL
93,7,7ZU2QTXFYX
94,7,PX72XP010R
95,7,PT3S2EB0IH
96,7,HP4U5O3X8D
97,7,C3JUKD7K4Z
98,7,RYKSVNYTNQ
99,7,RKWR7OJVQV
100,7,9PDPG2FZ55
101,7,ZBNUU8IPC1
102,7,TWZBZUZB9G
103,7,Y106ORIRAX
104,7,HIX6J01VIB
105,7,BUF08C2T63
106,8,ICG87KPH5V
107,8,5EFMTZREUG
108,8,710AY293LR
109,8,31I32NB1H7
110,8,1EEODT29Y2
111,8,FN8UNL66Q3
112,8,KGVZTRYXK3
113,8,1WJYOSXK37
114,8,CO7N6XKAVJ
115,8,FYG70VAF5Y
116,8,9LX395ERY7
117,8,HUPBFNP7HI
118,8,XTUGET3LYR
119,9,9DKVOHBE4B
120,9,NNRHQR91ZQ
121,9,RWGF2CJSBU
122,9,21XZH0F3SN
123,9,77IL9OR4J6
124,9,RINSK015D2
125,9,LX0PNZKSGV
126,9,TS005JMZY4
127,9,1XV54UN40L
128,9,KG54ZJMZAE
129,9,1Y5E0LVWVE
130,9,9N5ZL6WH59
131,10,8PH83IOSS2
132,10,PWT9H7XUE8
133,10,U3G60G63BZ
134,10,IJ0L9RBYUT
135,10,BBFHCSCMW8
136,10,P5FYDI74PY
137,10,27GB6AJSIG
138,10,K4EM20OVDR
139,10,09WTKT5YGT
140,10,RXG8DIQY6E
141,10,8HGJ9JXX2T
142,10,BD1VC4T53V
143,11,P00QASTCD5
144,11,VUWHKGOWMD
145,11,O4CB8B1E5X
146,11,8KDUTUDU9L
147,11,PEKNMSXNZ3
148,11,GAABUNCF8F
149,11,M0XQVCM7EL
150,11,JM4QW5KLY5
151,11,WU89HTC8YT
152,11,427CIC262B
153,11,67882YTT3L
154,11,CTF10ZMQJ2
155,12,4Q8EK3CMH6
156,12,HIEQQEIXFO
157,12,1REVSTVEGR
158,12,Q9GXM3KXIW
159,12,KLJNGZPW08
160,12,4N6KQB5G7O
161,12,ZHENAUVX0H
162,12,BAC1I0QTXX
163,12,2XPG4IXPLP
164,12,A5ZJH2662D
165,12,XJFFCP7DC9
166,13,B538HJ0AF6
167,13,G5O4VGNJBT
168,13,FV87LP52B0
169,13,1REVSTVEGR
170,13,H9RS1H4X30
171,13,ZHENAUVX0H
172,13,5NFYZ36OXP
173,13,9T6FXF9V61
174,13,4VX0PUT55X
175,13,KBL7QTINUL
176,13,6BFEYOSCWG
177,14,R59C0CQHB2
178,14,F4BAMV3MJZ
179,14,4CPCUT94CC
180,14,HPK77H2VA8
181,14,65W76PXDJG
182,14,X3PC3OMA6M
183,14,91U0UY0XGU
184,14,0S73UQSPOZ
185,14,U1UVRU7SD2
186,14,BQY9AGDDQ6
187,14,8H4XUVWA1U
188,15,74F4DWH8EA
189,15,UU7T51LQ5S
190,15,ZDDSXFY95X
191,15,CHTW4HTJHK
192,15,G7EIMDC1A7
193,15,OSHFMXRODD
194,15,XGAHJRZDCS
195,15,97F02JLX5U
196,15,C0C3Z1YOPP
197,15,38GN03NILR
198,16,T2OURUPESG
199,16,LZHRJ3426X
200,16,CWSYHVP388
201,16,ONFC8ZG1YU
202,16,FD1Q1EN1S1
203,16,I1XJHKMWV3
204,16,3C44A2U4P4
205,16,DVTP83SUFQ
206,16,I3DBJVUL9B
207,16,FISZKPETZ8
208,17,9PDPG2FZ55
209,17,DXATW31AQQ
210,17,PT3S2EB0IH
211,17,RZYGRBOOME
212,17,6WGCLLJMV2
213,17,2LY6XO3ZGP
214,17,DKCSJ984VL
215,17,HIX6J01VIB
216,17,RKWR7OJVQV
217,17,RYKSVNYTNQ
218,18,2V6YVSA8KL
219,18,ESN6OQURIM
220,18,RINSK015D2
221,18,FWOBIWO194
222,18,QSWK2H4H2H
223,18,F02Z4JROR9
224,18,LX0PNZKSGV
225,18,NEX1S53DU1
226,18,CM775BQI02
227,18,MTIIK996EL
228,19,OD0SSC1JW3
229,19,CQE84GDBUM
230,19,HUA2THG7R6
231,19,UM8FMFN59P
232,19,B538HJ0AF6
233,19,2GYYTF6653
234,19,U1UVRU7SD2
235,19,91U0UY0XGU
236,19,1RSVPDNWZ8
237,19,03E76WIB6A
238,20,QWBYOBV7LI
239,20,JKKN8W28ML
240,20,6V3UDJZIK3
241,20,FV3D39LP07
242,20,IFS6FSUWJF
243,20,HXH96JG4GS
244,20,6D5ADT83EA
245,20,QAAGYGINB1
246,20,LLDLZFT16W
247,20,X4CDRJMRWO
248,21,97F02JLX5U
249,21,UU7T51LQ5S
250,21,FV87LP52B0
251,21,G7EIMDC1A7
252,21,74F4DWH8EA
253,21,BVM4FOZ30Q
254,21,27GB6AJSIG
255,21,UDASTARX5R
256,21,OSHFMXRODD
257,21,XGAHJRZDCS
258,22,D5QJ2NRDNF
259,22,7XVXWHTC9N
260,22,J0MKKQLQMW
261,22,KQFP7XIJ7S
262,22,YE4611P8JB
263,22,MAO5NSXGD3
264,22,BW97DJ7RYP
265,22,E805QUUYC6
266,22,6CWZ2LF3WR
267,23,18HALRAV5X
268,23,Y927XIS980
269,23,HJOZFXF04Y
270,23,18OQC11ISB
271,23,W045DMH8ZL
272,23,QE6NDEBUJ1
273,23,XNJXQ8Q8MM
274,23,9TMWKI3WKK
275,23,VIEO2YKQKC
276,24,MJYRDNFHRL
277,24,NO3D1IL68D
278,24,GEO01ZRZ4W
279,24,S0Y2UWA40V
280,24,QBE3GU5MTF
281,24,33EKF9TGUB
282,24,HUTACC7UKN
283,24,ZOT4CA6MAO
284,24,QC4F4LX2YD
285,25,YG6JIWINZT
286,25,Q7JVI9JTDY
287,25,1QITZ2TRIO
288,25,2529L3W4CZ
289,25,LONSURISTP
290,25,1ETEN359E1
291,25,12MWOSS05G
292,25,BY526X5ZV6
293,25,0FQQUCSPB0
294,26,LONSURISTP
295,26,PRC460RU27
296,26,C5EHZVY5V6
297,26,PIGFKZP6ML
298,26,982LJ6N6R1
299,26,OH4JY4EPWA
300,26,JMV8UPQ623
